
board A ready, pulse on GPIO 4, cpu 240 MHz, capture clock 80 MHz, channel ESP_OK
CAP board pulse hardwareTicks cpuCycles
CAP A 20 63846 82353429
MISMATCH hardware 20 software 12
CAP A 335 1102728 85469292
MISMATCH hardware 335 software 163
CAP A 727 2852623 90719727
MISMATCH hardware 727 software 378
CAP A 1591 14849325 126709833
MISMATCH hardware 1591 software 809
CAP A 3424 20169351 142669911
MISMATCH hardware 3424 software 1602
CAP A 8017 33431641 182456625
MISMATCH hardware 8017 software 3480
CAP A 19336 64176299 274690755
MISMATCH hardware 19336 software 8059
CAP A 43086 194124675 664535838
MISMATCH hardware 43086 software 19347
CAP A 96190 518630787 1638053949
MISMATCH hardware 96190 software 43089
