
board A ready, pulse on GPIO 4, cpu 240 MHz, capture clock 80 MHz, channel ESP_OK
CAP board pulse hardwareTicks cpuCycles
CAP A 1 5843270 99694109
CAP A 2 85845875 339697178
CAP A 3 165848481 579704996
CAP A 4 245851086 819712811
CAP A 5 325853693 1059720632
CAP A 6 405856300 1299728453
CAP A 7 485858905 1539736268
CAP A 8 565861512 1779744089
CAP A 9 645864120 2019751913
CAP A 10 725866725 2259759728
CAP A 11 805869333 2499767552
CAP A 12 885871940 2739775373
CAP A 13 965874546 2979783191
CAP A 14 1045877154 3219791015
CAP A 15 1125879762 3459798839
CAP A 16 1205882369 3699806660
CAP A 17 1285884975 3939814478
CAP A 18 1365887583 4179822302
CAP A 19 1445890191 124862830
CAP A 20 1525892797 364870648
CAP A 21 1605895405 604878472
CAP A 22 1685898013 844886296
CAP A 23 1765900620 1084894117
CAP A 24 1845903228 1324901941
CAP A 25 1925905834 1564909759
CAP A 26 2005908442 1804917583
CAP A 27 2085911051 2044925656
CAP A 28 2165913657 2284933228
CAP A 29 2245916266 2524941055
CAP A 30 2325918872 2764948873
CAP A 31 2405921481 3004956700
CAP A 32 2485924089 3244964524
CAP A 33 2565926697 3484972348
CAP A 34 2645929305 3724980172
CAP A 35 2725931914 3964987999
CAP A 36 2805934523 4204995826
CAP A 37 2885937131 150036465
CAP A 38 2965939741 390044184
CAP A 39 3045942349 630052008
CAP A 40 3125944958 870059835
CAP A 41 3205947568 1110067665
CAP A 42 3285950178 1350075495
CAP A 43 3365952788 1590083325
CAP A 44 3445955398 1830091155
CAP A 45 3525958007 2070098982
CAP A 46 3605960618 2310106815
CAP A 47 3685963230 2550114651
CAP A 48 3765965842 2790122487
CAP A 49 3845968454 3030130323
CAP A 50 3925971067 3270138162
CAP A 51 4005973681 3510146004
CAP A 52 4085976294 3750153843
CAP A 53 4165978907 3990161682
CAP A 54 4245981521 4230169524
CAP A 55 31016837 175210064
CAP A 56 111019451 415217906
CAP A 57 191022065 655225748
CAP A 58 271024677 895233776
CAP A 59 351027291 1135241426
CAP A 60 431029903 1375249262
CAP A 61 511032517 1615257104
CAP A 62 591035130 1855264943
CAP A 63 671037743 2095272782
CAP A 64 751040357 2335280624
CAP A 65 831042971 2575288466
CAP A 66 911045584 2815296305
CAP A 67 991048198 3055304147
CAP A 68 1071050809 3295311980
CAP A 69 1151053423 3535319822
CAP A 70 1231056037 3775327664
CAP A 71 1311058649 4015335500
CAP A 72 1391061263 4255343342
CAP A 73 1471063876 200383885
CAP A 74 1551066488 440391721
CAP A 75 1631069102 680399563
CAP A 76 1711071715 920407402
CAP A 77 1791074329 1160415244
CAP A 78 1871076940 1400423077
CAP A 79 1951079553 1640430916
CAP A 80 2031082166 1880438755
CAP A 81 2111084778 2120446591
CAP A 82 2191087390 2360454427
CAP A 83 2271090002 2600462263
CAP A 84 2351092614 2840470099
CAP A 85 2431095227 3080477938
CAP A 86 2511097838 3320485771
CAP A 87 2591100450 3560493607
CAP A 88 2671103061 3800501440
CAP A 89 2751105673 4040509276
CAP A 90 2831108285 4280517112
CAP A 91 2911110896 225557649
CAP A 92 2991113509 465565488
CAP A 93 3071116119 705573318
CAP A 94 3151118731 945581154
CAP A 95 3231121343 1185588990
CAP A 96 3311123953 1425596820
CAP A 97 3391126565 1665604656
CAP A 98 3471129177 1905612492
CAP A 99 3551131788 2145620325
CAP A 100 3631134400 2385628161
CAP A 101 3711137012 2625635997
CAP A 102 3791139624 2865643833
CAP A 103 3871142236 3105651669
CAP A 104 3951144846 3345659499
CAP A 105 4031147459 3585667338
CAP A 106 4111150072 3825675177
CAP A 107 4191152685 4065683016
CAP A 108 4271155296 10723553
CAP A 109 56190613 250731392
CAP A 110 136193225 490739228
CAP A 111 216195838 730747067
CAP A 112 296198450 970754903
CAP A 113 376201063 1210762742
CAP A 114 456203677 1450770584
CAP A 115 536206290 1690778423
CAP A 116 616208904 1930786265
CAP A 117 696211518 2170794107
CAP A 118 776214131 2410801946
CAP A 119 856216746 2650810607
CAP A 120 936219360 2890817633
CAP A 121 1016221974 3130825475
CAP A 122 1096224589 3370833320
CAP A 123 1176227204 3610841165
CAP A 124 1256229819 3850849010
CAP A 125 1336232434 4090856855
CAP A 126 1416235048 35897401
CAP A 127 1496237663 275905246
CAP A 128 1576240277 515913088
CAP A 129 1656242892 755921073
CAP A 130 1736245506 995928775
CAP A 131 1816248121 1235936620
CAP A 132 1896250736 1475944465
CAP A 133 1976253351 1715952310
CAP A 134 2056255969 1955960164
CAP A 135 2136258585 2195968012
CAP A 136 2216261201 2435975860
CAP A 137 2296263817 2675983708
CAP A 138 2376266434 2915991559
CAP A 139 2456269052 3155999413
CAP A 140 2536271669 3396007264
CAP A 141 2616274286 3636015115
CAP A 142 2696276905 3876022972
CAP A 143 2776279523 4116030826
CAP A 144 2856282143 61071390
CAP A 145 2936284763 301079250
CAP A 146 3016287383 541087110
CAP A 147 3096290003 781094970
CAP A 148 3176292622 1021102827
CAP A 149 3256295242 1261110687
CAP A 150 3336297862 1501118547
CAP A 151 3416300482 1741126407
CAP A 152 3496303104 1981134273
CAP A 153 3576305723 2221142130
CAP A 154 3656308343 2461149990
CAP A 155 3736310963 2701157850
CAP A 156 3816313584 2941165713
CAP A 157 3896316204 3181173573
CAP A 158 3976318823 3421181430
CAP A 159 4056321443 3661189290
CAP A 160 4136324064 3901197153
CAP A 161 4216326683 4141205010
CAP A 162 1362006 86245571
CAP A 163 81364625 326253428
CAP A 164 161367246 566261291
CAP A 165 241369864 806269145
CAP A 166 321372482 1046276999
CAP A 167 401375102 1286284859
CAP A 168 481377721 1526292716
CAP A 169 561380339 1766300570
CAP A 170 641382959 2006308430
CAP A 171 721385578 2246316287
CAP A 172 801388196 2486324141
CAP A 173 881390815 2726331998
CAP A 174 961393433 2966339852
CAP A 175 1041396052 3206347709
CAP A 176 1121398670 3446355563
CAP A 177 1201401289 3686363420
CAP A 178 1281403907 3926371274
CAP A 179 1361406526 4166379131
CAP A 180 1441409143 111419992
CAP A 181 1521411761 351427540
CAP A 182 1601414379 591435394
CAP A 183 1681416996 831443245
CAP A 184 1761419615 1071451102
CAP A 185 1841422232 1311458953
